PROBLEM;PRAWDOPODOBNA PRZYCZYNA;NOWY WZORZEC MYŚLENIA
Cuschinga choroba;Nierównowaga psychiczna. Natłok niszczących myśli. Uczucie przytłoczenia.;Z miłością równoważę mój umysł i moje ciało. Wybieram myśli, które dają mi dobre samopoczucie.
Cysty;Ciągłe przeżywanie starych, bolesnych doznań. Pielęgnowanie uraz. Błędnie rozumiany rozwój.;Moje doznania są piękne, bo tego właśnie chcę. Kocham siebie.
Czyraki;Kipienie gniewem. Wrzenie. Złość.;Wyrażam miłość i radość, jestem spokojny.
Czyrak mnogi;Trujący gniew z powodu osobistych krzywd.;Uwalniam przeszłość i pozwalam, by czas uzdrowił każdy obszar mojego życia.
Depresja;Nie pozwalasz sobie na odczuwanie gniewu. Brak nadziei.;Wznoszę się ponad lęki i ograniczenia innych ludzi. Sam tworzę moje życie.
Dłonie;Trzymają i dotykają. Ściskają i chwytają. Zatrzymują i puszczają. Pieszczą. Szczypią. Wszystko, co dotyczy traktowania swoich doświadczeń.;Postanawiam przyjmować moje doświadczenia z miłością, radością i swobodą.
Dreszcze;"Psychiczne wycofanie się do wewnątrz, „Kurczenie się."" Pragnienie ucieczki. „Zostawcie mnie w spokoju"".";W każdej chwili jestem bezpieczny. Miłość otacza mnie i chroni. Wszystko jest w porządku.
Drogi oddechowe;Obawa przed doświadczaniem życia w pełni.;Jestem bezpieczny. Kocham życie.
Drogi moczowe — infekcja;Poczucie, że jest się lekceważonym. Z reguły przez przedstawicieli płci przeciwnej lub swego partnera. Zrzucanie winy na innych.;Usuwam ze swojej świadomości sposób myślenia powodujący ten stan. Chcę się zmienić. Kocham i akceptuję siebie.
Drogi moczowe — zapalenie cewki moczowej;Uczucie gniewu. Wstyd.;W moim życiu tworzę tylko radosne doświadczenia.
Drożdżyca;Odrzucanie własnych potrzeb. Nie wspieranie siebie.;Postanawiam teraz wspierać siebie radością i miłością.
Duszności;Lęk. Nieufność wobec biegu życia. Niechęć do bycia dorosłym.;Bezpiecznie jest być dorosłym. Świat jest bezpieczny. Jestem bezpieczny.
Dyskopatia;Uczucie braku życiowego wsparcia. Niezdecydowanie.;Życie wspiera wszystkie moje myśli i dlatego kocham i akceptuję siebie. Wszystko jest w porządku.
Dziąsła — dolegliwości;"Nieumiejętność uzasadniania własnych decyzji. „Nie wiem, czego chcę"".";Jestem zdecydowany. Realizuję swoje decyzje do końca i wspieram się miłością.
Dziąsła — krwawienie;Brak radości z podjętych decyzji.;Ufam, że moje działanie jest właściwe. Jestem spokojny.
Egzema;Zapierający dech konflikt. Brak równowagi psychicznej.;Harmonia i pokój, miłość i radość otaczają mnie i zamieszkują we mnie. Jestem bezpieczny i ochraniany.
Epilepsja (padaczka);Poczucie prześladowania. Odrzucanie życia. Ciągłe zmaganie. Gwałt zadawany samemu sobie.;Widzę życie jako wieczne i radosne. Jestem wieczny, radosny i spokojny.
Epsteina — Barra wirus;Zajadła walka z własnymi ograniczeniami. Wyczerpanie wewnętrznej siły. Wirus stresu.;Odprężam się i uznaję swoją wartość. Jestem wystarczająco dobry. Życie jest proste i radosne.
Gangrena;Psychiczna patologia. Radość utopiona w zatrutych myślach. Dźwiganie ciężarów życia. Poczucie bezradności i beznadziejności.;Dostrzegam tylko pogodne myśli i pozwalam radości swobodnie przepływać przeze mnie. Stoję prosty i wolny. Kocham i akceptuję siebie. Moje życie staje się z dnia na dzień lepsze.
Gardło;Droga ekspresji. Kanał twórczości.;Otwieram moje serce i chwalę radość miłości.
Gardło — dolegliwości;Niezdolność do mówienia za siebie. Zdławiony gniew. Zduszona ekspresja. Odmowa zmiany.;Nic nie szkodzi hałasować. Wyrażam siebie swobodnie i radośnie. Mówię za siebie z łatwością. Wyrażam swoją twórczą osobowość. Chcę się zmienić.
Gardło — zapalenie;Wstrzymywanie gniewnych słów. Poczucie niezdolności do wyrażania siebie.;Pozbywam się wszelkich ograniczeń. Wolno mi być sobą.
"Gardło — uczucie ucisku, „klucha w gardle""";Lęk. Nieuleganie biegowi życia.;Jestem bezpieczny. Wierzę, że Życie jest dla mnie darem. Wyrażam siebie swobodnie i radośnie.
Genitalia (narządy płciowe);Reprezentują męskość i kobiecość.;Dobrze jest być tym, kim jestem.
Genitalia — problemy;Lęk, że nie jest się dość dobrym.;Znajduję radość w wyrażaniu życia. Jestem doskonały, taki, jaki jestem. Kocham i akceptuję siebie.
Głowa — bóle (por. migrena);Niedocenianie siebie. Samokrytycyzm. Lęk.;Kocham i akceptuję siebie. Patrzę na siebie i na to, co robię, z miłością. Jestem bezpieczny.
Głowa — zawroty;Niestałe, rozproszone myślenie. Odmowa spojrzenia wprost na rzeczywistość.;Jestem skupiony i spokojny. Mogę bezpiecznie żyć i cieszyć się życiem.
Głuchota;"Odrzucanie, nieustępliwość, izolacja. Czego nie chcesz słyszeć? „Dajcie mi spokój.""";Przysłuchuję się temu, co Boskie i cieszę się, że jestem zdolny słyszeć. Jestem jednością ze wszystkim.
Gorączka;Gniew. Rozpalone emocje.;Jestem chłodnym, spokojnym wyrazem pokoju i miłości.
Gościec;Krytycyzm wobec autorytetów. Poczucie stłumienia.;Jestem dla siebie autorytetem. Kocham i akceptuję siebie. Życie jest dobre.
Grasica;"Najważniejszy gruczoł w systemie odpornościowym. Uczucie, że jest się atakowanym przez Życie. „Wszystko sprzysięgło się przeciwko mnie"".";Moje myśli pełne miłości wzmacniają mój system odpornościowy. Jestem bezpieczny wewnątrz i na zewnątrz. Wsłuchuję się w siebie z miłością.
Gruczolistność wewnętrzna (endometrioza);Brak poczucia bezpieczeństwa. Rozczarowanie i frustracja. Słodycze zastępują miłość do siebie.;Czuję swoją siłę i atrakcyjność. To cudowne być kobietą. Kocham siebie i jestem spełniona.
Gruczoły dokrewne (węzły chłonne);Symbolizują gotowość do działania, samoistną aktywność.;Jestem twórczą siłą w moim świecie.
Gruczoły dokrewne — dolegliwości;Zbyt mało pomysłów. Powstrzymywanie własnej aktywności.;Mam do dyspozycji wszystkie Boskie pomysły i sposoby działania, jakich potrzebuję. Od tej chwili zaczynam działać.
Gruźlica;Zaborczość. Okrutne myśli. Chęć zemsty. Wyniszczanie siebie samolubstwem.;Tak jak kocham i akceptuję siebie, tak tworzę radosny i spokojny świat, w którym żyję.
Grypa;Odpowiedź na powszechne negatywne nastawienia i przekonania. Strach. Wiara w statystyczne uogólnienia.;"Jestem ponad powszechne przekonania i wiarę w „stosowną porę"". Jestem wolny od wszelkich wpływów."
Grzybica;Pozwalasz innym, by załazili ci za skórę. Nie czujesz się dość dobry ani czysty.;Kocham i akceptuję siebie. Nikt, żadne miejsce, żadna rzecz nie mają nade mną władzy. Jestem wolny.
Guzki, małe zgrubienia;Uraza i frustracja, zranione ego.;Odrzucam swój wzorzec powstrzymywania i pozwalam sobie odnieść sukces.
Guzy (por. narośl);Pielęgnowanie starych ran i wstrząsów. Narastanie wyrzutów sumienia.;Z miłością uwalniam przeszłość i zwracam moją uwagę na dzień dzisiejszy. Wszystko jest w porządku.
Hemoroidy;(Patrz: odbyt);-
Hiperglikemia;(Patrz: cukrzyca);-
Hiperwentylacja;Lęk. Opieranie się zmianom. Nieufność wobec życia.;Jestem bezpieczny w każdym miejscu Wszechświata. Kocham siebie i ufam biegowi życia.
Choroba Hodgkina (ziarnica złośliwa, limfogranulomatoza);"Poczucie winy i silny lęk przed tym, że nie jest się „dość dobrym"". Obłędna pogoń za tym, aby dowieść swojej wartości aż do wyczerpania żywotnych sił. Radość życia zostaje zapomniana w pogoni za byciem akceptowanym.";Jestem absolutnie szczęśliwy będąc sobą. Jestem dobry taki, jaki jestem. Kocham i akceptuję siebie. Jestem radością wyrażającą i odczuwającą.
Impotencja;Seksualna presja, napięcie, wina. Przesądy. Niechęć do poprzedniego partnera. Strach przed matką.;Pozwalam, aby moja seksualność przejawiła się z całą mocą, łatwo i radośnie.
Infekcje, zakażenia;Rozdrażnienie, gniew, irytacja.;Chcę żyć w spokoju i harmonii.
Ischias, rwa kulszowa;Obłuda. Obawa o pieniądze, lęk przed przyszłością.;Zmierzam ku mojemu największemu dobru. Moje dobro jest wszędzie. Jestem bezpieczny i chroniony.
Jadłowstręt, anoreksja;(Patrz: łaknienia brak);-
Jajniki;Symbolizują istotę tworzenia. Twórczość.;Zachowuję równowagę w przepływie mojej mocy twórczej.
Jądra;Symbolizują męskość.;Bezpiecznie jest być mężczyzną.
Jąkanie się;Brak poczucia bezpieczeństwa. Nieumiejętność wyrażania siebie. Brak zgody na płacz.;Wolno mi mówić we własnym imieniu. Jestem całkowicie bezpieczny wyrażając siebie. Komunikuję się pełen miłości.
Jelita;Symbolizują wyzwolenie od tego, co niepotrzebne.;Proces wyzwalania się jest łatwy.
Jelita — dolegliwości;Lęk przed uwolnieniem tego, co stare i niepotrzebne.;Swobodnie i łatwo uwalniam się od tego, co stare i z radością witam nowe.
Jelito grube, śluzowatość;Nagromadzenie starych, chaotycznych myśli, zamykające kanał usuwania tego, co zbędne. Pławienie się w grząskim błocie przeszłości.;Uwalniam i unieważniam przeszłość. Myślę jasno, żyję teraźniejszością w spokoju i radości.
Jelito grube, zapalenie;Lęk. Zmartwienia. Poczucie, że nie jest się dość dobrym.;Kocham i akceptuję siebie. Robię wszystko najlepiej, jak potrafię. Jestem wspaniały. Jestem spokojny.
Jęczmień;(Patrz: oczy);-
Język;Reprezentuje zdolność radosnego smakowania przyjemności życia.;Cieszę się obfitymi darami życia.
Kamica nerkowa;"„Kawałki"" nieujawnionego gniewu.";Z łatwością rozwiązuję wszystkie problemy z przeszłości.
Kamienie żółciowe;Rozgoryczenie. Złe myśli. Pogarda. Pycha.;Radosne jest uwolnienie się od przeszłości. Rozkosznie jest żyć.
Kaszel;"Chęć zwrócenia na siebie uwagi. „Patrzcie na mnie, posłuchajcie mnie"".";Jestem zauważany i wysoko ceniony. Jestem kochany.
Katar sienny;Przeciążenie emocjonalne. Lęk przed upływem czasu. Przekonanie, że jest się prześladowanym. Poczucie winy.;Stanowię jedność z CAŁOŚCIĄ ŻYCIA. W każdej chwili jestem bezpieczny.
Kiła;Odrzucanie swojej mocy i skuteczności.;Postanawiam być sobą. Zgadzam się być taki, jaki jestem.
Klimakterium;(Patrz: menopauza);-
Kobiece dolegliwości;Zaparcie się samej siebie. Odrzucanie kobiecości. Odrzucanie samej istoty bycia kobietą.;Zgadzam się na moją kobiecość. Kocham bycie kobietą. Kocham moje ciało.
Kolano por stawy;Reprezentują dumę i ego.;Jestem giętki i ruchomy.
Kolano — dolegliwości;Uparte ego i duma. Niezdolność, by czasem się ugiąć. Brak giętkości. Nie popuszczę.;Przebaczenie. Zrozumienie. Współczucie. Z łatwością przystosowuję się i poddaję. Wszystko jest dobrze.
Kolka brzuszna;Poirytowanie, niecierpliwość, nerwowość otoczenia.;To dziecko wzbudza tylko miłość i życzliwe myśli. Jest spokojne.
Kolka jelitowa;Lęk przed uwolnieniem. Niepewność.;Życie jest dla mnie dobre i zawsze troszczy się o mnie. Wszystko jest dobrze.
Kostki u nóg;Symbolizują umiejętność przeżywania przyjemności. Dolegliwości — brak elastyczności i poczucie winy.;Zasługuję na to, by cieszyć się życiem. Akceptuję wszystkie radości, jakie ofiarowuje mi życie.
Kości por szkielet;Symbolizują budowę wszechświata.;Jestem dobrze zbudowany i zrównoważony.
Kości — deformacje;Psychiczna presja i napięcie. Mięśnie nie mogą się rozciągać. Utrata psychicznej ruchliwości.;Wdycham życie pełną piersią. Jestem zrelaksowany i ufam biegowi życia.
Kości — odwapnienie;Poczucie braku oparcia w życiu.;Sam jestem dla siebie oparciem, a Życie wspiera mnie w nieoczekiwany, pełen miłości sposób.
Kości — zapalenie szpiku;Frustracja i gniew na samą strukturę życia. Brak oparcia.;Jestem spokojny wobec biegu życia i ufam mu. Jestem bezpieczny i chroniony.
Kości — złamania;Bunt przeciwko autorytetom.;W moim świecie jestem swoim własnym autorytetem, bo jestem jedynym, który tworzy moje myśli.
Kości — zrosty;Stwardniałe pojęcia i idee, stężały strach.;Bezpiecznie jest widzieć i przeżywać nowe pomysły i możliwości. Jestem otwarty i chłonny wobec dobra.
Krążenie;Symbolizuje zdolność przeżywania i wyrażania emocji w sposób pozytywny.;Jestem wolny i wprowadzam w każdą część mojego świata miłość i radość. Kocham życie.
Krew;Symbolizuje radość płynącą swobodnie przez ciało.;Jestem wyrażającą i przyjmującą radością życia.
Krew — dolegliwości;Brak radości. Brak nowych koncepcji.;Radosne, nowe pomysły krążą we mnie swobodnie.
Krew — krzepliwość;Zamykanie przepływu radości.;Budzę w sobie nowe życie. Płynę.
Krew — niedokrwistość;"Przekonanie, które niszczy każdą radość życia: „Nie jestem wystarczająco dobry"".";To dziecko karmione jest miłością, a żyje i oddycha radością życia. Bóg czyni cuda każdego dnia.
Kręgosłup;Elastyczna podpora życia.;Życie wspiera mnie.
Krosty;(Patrz: wągry);-
Krtań;Droga i ujście ekspresji, kanał siły twórczej.;Otwieram serce i śpiewam radość miłości.
Krtań — zapalenie;Tak wściekły, że aż nie możesz mówić. Strach przed wypowiedzeniem tego, co się myśli. Uraza wobec autorytetów.;Jestem wolny, by prosić o cokolwiek zechcę. Bezpiecznie jest wyrażać siebie. Jestem spokojny.
Krup (dławiec);(Patrz: oskrzeli zapalenie);-
Krwawienie;Wyciekająca radość. Gniew.;Jestem radością Życia, wyrażającą i przyjmującą w doskonałym rytmie.
Krzywica;Głód emocjonalny. Brak miłości i bezpieczeństwa.;Jestem bezpieczny i karmiony miłością Wszechświata.
Kurcze (w brzuchu);Lęk. Powstrzymywanie.;Ufam biegowi życia. Jestem bezpieczny.
Kurzajka;Gniew u podstaw twojego rozumienia. Rosnący niepokój o przyszłość.;Idę naprzód ufnie i z łatwością. Ufam i ulegam biegowi życia.
Lewa strona ciała;Symbolizuje wrażliwość, przyjmowanie, energię żeńską, kobiecość, matkę.;Moja żeńska energia jest wspaniale zrównoważona.
Lęki, niepokój;Nie ufam biegowi życia.;Kocham i aprobuję siebie i ufam biegowi życia. Jestem bezpieczny.
Limfatyczny układ — dolegliwości;Ostrzeżenie, że umysł należy z powrotem ześrodkować na niezbędnych, zasadniczych elementach życia: miłości i radości.;Jestem teraz całkowicie skupiony na miłości i radości bycia żywym. Płynę z życiem. Włada mną spokój.
Liszaj;(Patrz: toczeń rumieniowaty);-
Lokomocyjna choroba;Strach. Lęk przed utratą kontroli nad sobą.;Kontroluję moje myśli. Jestem bezpieczny. Kocham i akceptuję siebie.
Lokomocyjna choroba — w samochodzie;Lęk. Uwiązanie. Poczucie uwięzienia.;Lekko przemieszczam się w czasie i przestrzeni. Otacza mnie miłość.
Lokomocyjna choroba — na morzu;Lęk. Lęk przed śmiercią. Utrata panowania nad sobą.;Jestem całkiem bezpieczny we Wszechświecie. Wszędzie jestem spokojny. Ufam życiu.
Łaknienia brak;Odmawianie sobie życia. Silny lęk, nienawiść do siebie i odrzucenie siebie.;Bezpiecznie jest być sobą. Jestem cudowny taki, jaki jestem. Wybieram życie. Wybieram radość i zgodę na siebie.
Łokieć por stawy;Symbolizuje zmieniające się kierunki i akceptowanie nowych doświadczeń.;Z łatwością płynę wraz z nowymi doświadczeniami, kierunkami i zmianami.
Łonowa kość;Symbolizuje ochronę narządów płciowych.;Moja płciowość jest bezpieczna.
Łuszczyca;Lęk przed doznawaniem krzywdy. Tłumienie świadomości własnego ja. Odmowa zaakceptowania odpowiedzialności za własne uczucia.;Jestem otwarty na radość życia. Zasługuję i akceptuję wszystko to, co najlepsze w życiu. Kocham i akceptuję siebie.
Macica;Symbolizuje schronienie i kolebkę tworzenia.;Moje ciało jest moim schronieniem.
Malaria;Zaburzona równowaga związku z przyrodą i życiem.;Jestem w jedności i harmonii z całym życiem. Jestem bezpieczny.
Menopauza;"Lęk przed staniem się niechcianą. Lęk przed starzeniem się. Odrzucanie siebie. Poczucie, że nie jest się „dość dobrą"".";Jestem zrównoważona i spokojna w każdej zmianie cyklu. Błogosławię moje ciało z miłością.
Miażdżyca tętnic;(Patrz: arterioskleroza);-
Miedniczki nerkowe — zapalenie;(Patrz: drogi moczowe);-
Miesiączkowanie — dolegliwości;Odrzucenie własnej kobiecości. Poczucie winy. Przekonanie o grzeszności czy nieczystości narządów płciowych.;Akceptuję całą swoją kobiecą siłę i przyjmuję wszystkie procesy zachodzące w moim ciele jako normalne i naturalne. Kocham siebie.
Miesiączkowanie — bolesna por kobiece dolegliwości;Gniew na samą siebie. Nienawiść do ciała lub kobiet.;Kocham moje ciało. Kocham siebie. Kocham każdy mój cykl. Wszystko jest w porządku.
Miesiączkowanie — brak;Niechęć do bycia kobietą. Brak akceptacji siebie.;Cieszę się, że jestem tą, którą jestem. Jestem pięknym wyrazem życia i w doskonały sposób podążam wraz z nim.
Mięśniaki, cysty;Pielęgnowanie urazy spowodowanej przez partnera. Zranienie kobiecego ego.;Odrzucam wzorzec, który spowodował takie doświadczenie. W moim życiu tworzę tylko dobro.
Mięśnie;Opór wobec nowych doświadczeń. Mięśnie symbolizują naszą umiejętność aktywnego życia.;Doświadczam życia jak radosnego tańca.
Mięśnie — zwyrodnienie (dystrofia);"„Nie warto dorastać"".";Wyrastam ponad moich rodziców. Wolno mi być sobą, tak bardzo, jak tylko potrafię.
Mięśnie — zanik;Nieakceptowanie własnej wartości. Wyrzeczenie się sukcesu.;Wiem, jak jestem cenny. Bezpiecznie jest odnosić sukcesy. Kocham życie.
Migdałki — zapalenie;Strach. Stłumione uczucia. Zduszona potrzeba tworzenia.;To, co we mnie dobre, swobodnie przepływa przez mnie. Boskie idee wyrażają się przeze mnie. Jestem spokojny.
Migrena por ból głowy;Niechęć do bycia kierowanym. Opieranie się przepływowi życia. Lęki seksualne (mogą być łagodzone przez masturbację).;Odprężam się i pozwalam, by życie dostarczało mi wszystkiego, czego potrzebuję, łatwo i bez trosk. Życie jest dla mnie.
Moczenie nocne;Lęk przed rodzicami, zwykle przed ojcem.;Traktujemy to dziecko z miłością, współczuciem i zrozumieniem. Wszystko jest dobrze.
Mononukleoza;Wściekłość na brak miłości i uznania. Zaprzestanie troski o siebie.;Kocham, akceptuję i troszczę się o siebie. Jestem wystarczająco dobry.
Morska choroba (lokomocyjna choroba);Strach przed utratą kontroli nad ciałem.;Z łatwością radzę sobie z ruchem i podróżami.
Mózg;"Symbolizuje „centrum dowodzenia"", nasza „deska rozdzielcza"".";Jestem pełnym miłości użytkownikiem swojego umysłu.
Mózg - Porażenie;Potrzeba zjednoczenia rodziny w czynie miłości.;Przyczyniam się do zgodnego, pełnego miłości i spokoju życia rodzinnego.
Mózg - Udar;Odmowa zmiany starych wzorców.;Jest mi łatwo przeprogramować komputer mojego umysłu. Życie jest zmianą.
Nadczynność tarczycy;Wściekłość, że zostało się pominiętym.;Jestem w centrum życia, akceptuję siebie i wszystko dokoła.
"Nadnercza — dolegliwości por.
Addisona ch.,
Cushinga ch.";Defetyzm, zaprzestanie troski o siebie.;Kocham i akceptuję siebie. Bezpiecznie jest troszczyć się o siebie.
"Nadwaga por.
tłuszczowa tkanka";Lęk, potrzeba opieki, ucieczka od uczuć.;Jestem w zgodzie z moimi uczuciami. Jestem bezpieczny tu, gdzie jestem.
Nałogi;Ucieczka od siebie, lęk.;Odkrywam swoje piękno. Chcę kochać siebie i cieszyć się sobą.
Narkolepsja (senność napadowa);Strach przed porażką, chęć ucieczki od wszystkiego.;Ufam, że boska mądrość nieustannie mnie ochrania.
Naroślą;Pielęgnowanie starych ran, obrażanie się.;Łatwo przebaczam. Kocham siebie i wynagradzam siebie pochwalnymi myślami.
Nerki — zapalenie por. Brighta ch.;Przesadna reakcja na rozczarowanie i niepowodzenie.;Tylko właściwe działanie ma miejsce w moim życiu.
Nerwoból (neuralgia);Karanie za winę, udręka z powodu niekomunikatywności.;Wybaczam sobie. Kocham i akceptuję siebie. Porozumiewam się pełen miłości.
Nerwowe załamanie;Zagłuszanie kanałów komunikacyjnych.;Otwieram moje serce i porozumiewam się pełen miłości.
Nerwowość;Strach, niepokój, pośpiech.;Jestem w bezkresnej podróży przez wieczność, mam mnóstwo czasu.
Nerwy;Symbolizują komunikację, wrażliwi sprawozdawcy.;Porozumiewam się łatwo i z radością.
